Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
Todos los Pedidoables,Muestras de Laboratorio,CONCEPT-SET,1,,
Todos los Pedidoables,Órdenes de Radiología,CONCEPT-SET,2,,
Todos los Pedidoables,Órdenes de Procedimientos,CONCEPT-SET,3,,
